,symbol,current_status,batch_number,batch_lot,qty_buys,qty_sells,qty_net,amount_buys,amount_sells,amount_net,CB_batch,CB_effective,SB_avg,p&l_batch,p&l_ticker
81,FANG,Inactive,1,2,1.0,1.0,0.0,134.66,225.55,9.11,134.6629737,134.66,125.55,-9.112973700000012,-9.112973700000012
82,FB,Inactive,2,1,0.146606,0.146606,0.0,50.0,32.69,17.310000000000002,341.05,341.05,222.98,-17.309770420000003,-4.333725190000015
83,FMC,Inactive,1,1,1.0,1.0,0.0,138.08,273.75,2.410000000000025,138.08,138.08,135.67,-2.410000000000025,-2.410000000000025
84,FVRR,Inactive,1,3,1.568735,1.5687350000000002,0.0,265.77,314.43,-23.660000000000025,169.4170796852241,129.4971927446741,184.49839619183606,23.658589049999954,23.658589049999954
85,GDYN,Inactive,1,1,0.645187,0.645187,0.0,25.0,34.04,15.96,38.75,38.75,14.01,-15.96192638,-15.96192638
86,GLBS,Inactive,1,1,5.0,5.0,0.0,19.25,38.45,0.05000000000000071,3.85,3.85,3.84,-0.050000000000001155,-0.050000000000001155
87,HAL,Inactive,1,2,3.058624,3.058624,6.938893903907228e-18,120.0,218.18,1.8200000000000016,39.23831597803457,65.67276200873364,38.63833839007345,-1.8351058500000121,-1.8351058500000121
88,HZNP,Inactive,1,1,1.0,1.0,0.0,113.34,218.92000000000002,7.760000000000005,113.34,113.34,105.58,-7.760000000000005,-7.760000000000005
89,IDXX,Inactive,1,2,0.115456,0.115456,0.0,75.0,98.72,1.2800000000000011,649.5976944463692,649.5981152993348,638.51,-1.2801408500000089,-1.2801408500000089
90,IKT,Inactive,1,1,50.0,50.0,0.0,138.25,278.4,-1.9000000000000057,2.77,2.77,2.8,1.4999999999999902,1.4999999999999902
91,INTC,Inactive,1,2,3.0519890000000003,3.051989,2.8449465006019636e-16,150.0,247.31,2.6900000000000044,49.6826246567217,98.4823712708453,48.266873130932,-2.6956087700000038,-2.6956087700000038
92,INTU,Inactive,1,1,0.06364,0.06364,0.0,40.0,80.02000000000001,-0.020000000000003126,628.54,628.54,628.85,0.019728400000003764,0.019728400000003764
93,IPI,Inactive,1,1,1.0,1.0,0.0,100.92,205.68,-3.8400000000000034,100.92,100.92,104.76,3.8400000000000034,3.8400000000000034
94,IQ,Inactive,1,1,2.0,2.0,0.0,65.8,88.1,43.5,32.9,32.9,11.15,-43.5,-43.5
95,KEY,Inactive,2,3,4.369059,4.369059,0.0,100.0,112.1,-12.099999999999994,22.89057874018181,22.888223757106505,25.66,12.099764880000007,10.016889100000004
96,LC,Inactive,2,4,1.004722,1.004722,0.0,35.0,26.2,8.8,34.83753687089564,34.835506737187,26.08,-8.79888996000001,-9.059232900000008
97,LCID,Inactive,2,2,1.2697120000000002,1.269712,2.220446049250313e-16,60.0,32.57,27.43,47.254060999659764,47.254810539712935,25.649999999999995,-27.4309355,-12.52093549999999
98,LITE,Inactive,2,1,0.505254,0.505254,0.0,50.0,41.96,8.04,98.96,98.96,83.05,-8.038591139999998,-9.368591139999996
99,LMND,Inactive,1,4,4.501239,4.501239,0.0,275.0,300.58000000000004,74.41999999999999,61.09507891938197,61.09428981664826,44.56,-74.42834209999997,-74.42834209999997
100,LOW,Inactive,1,2,1.004185,1.0041849999999999,1.6653345369377348e-16,192.10000000000002,422.49,-39.089999999999975,191.29941654177267,151.6470850527715,230.22690540089727,39.09040040000002,39.09040040000002
101,LRCX,Inactive,1,4,0.483696,0.483696,2.7755575615628914e-17,290.01,356.07,-16.060000000000002,599.5697583399491,540.6525552004996,632.771988935199,16.05978612999999,16.05978612999999
102,LULU,Inactive,1,8,0.5771470000000001,0.577147,1.1102230246251565e-16,230.0,204.01,50.99000000000001,398.5129521248486,398.51199087927336,310.16,-50.99264125999998,-50.99264125999998
103,LUV,Inactive,1,3,3.5121020000000005,3.5121019999999996,8.881784197001252e-16,175.0,245.3,29.700000000000003,49.83049570883761,52.46497228590302,41.37331467024592,-29.702482439999983,-29.702482439999983
104,MASI,Inactive,1,1,0.364431,0.36443099999999995,2.7755575615628914e-17,100.0,204.16,-4.16,274.4,0.0,285.81781130035597,4.161004390000012,4.161004390000012
105,MDIA,Inactive,2,1,5.0,5.0,0.0,71.63,71.65,-0.020000000000010232,14.33,14.33,14.330000000000002,0.0,3.8386117600000063
106,MELI,Inactive,2,3,0.12756299999999998,0.127563,-2.7755575615628914e-17,150.0,157.01,-7.009999999999991,1175.889281453086,1175.8895604524826,1230.84,7.009678509999992,-184.0908697399999
107,MITK,Inactive,1,4,10.585453000000001,10.585453,8.881784197001252e-16,155.97,209.82,-6.600000000000001,14.735584866325512,11.600320500360668,15.355610656435772,6.56325386000001,6.56325386000001
108,MKL,Inactive,1,3,0.060689999999999994,0.06069,-6.938893903907228e-18,75.0,113.72,-13.719999999999999,1235.7893234470262,1235.7884330202671,1461.86,13.720229359999976,13.720229359999976
109,MMAT,Inactive,1,2,15.0,15.0,0.0,116.5,188.99,6.810000000000002,7.766666666666667,7.766666666666667,7.31,-6.850000000000005,-6.850000000000005
110,MNDY,Inactive,1,3,0.3983920000000001,0.398392,5.551115123125783e-17,150.0,193.22,6.780000000000001,376.512742073134,376.5135846101327,359.5,-6.777740340000004,-6.777740340000004
111,MO,Inactive,1,2,3.054646,3.054646,1.1102230246251565e-16,154.62,306.63,0.030000000000001137,50.61792353680263,50.64045582533635,50.61000000000001,-0.024203600000003204,-0.024203600000003204
112,MOS,Inactive,1,1,2.0,2.0,0.0,130.05,260.17,-0.06999999999999318,65.03,65.03,65.06,0.060000000000002274,0.060000000000002274
113,MQ,Inactive,1,2,4.285238,4.285238,-3.3306690738754696e-16,70.0,92.69000000000001,27.310000000000002,16.33654879845647,107.27883381597135,9.961825723565413,-27.317205560000005,-27.317205560000005
114,MRIN,Inactive,2,1,3.831015,3.831015,-1.1102230246251565e-16,69.3,81.11,-11.809999999999999,18.09,6.786881103229185,21.17227810384454,11.808253649999997,18.238253649999994
115,MRVL,Inactive,1,4,1.96605,1.96605,0.0,170.0,141.41,48.59,86.47021107296356,86.46779074794638,61.75,-48.60117098000002,-48.60117098000002
116,MTDR,Inactive,1,2,3.692219,3.692219,1.1102230246251565e-16,205.9,332.65,23.250000000000007,55.76875117104376,84.17856198688565,49.46872306599364,-23.261083470000024,-23.261083470000024
117,MTTR,Inactive,2,8,8.702904,8.702904,-4.440892098500626e-16,250.0,168.11,81.89,28.725958383546462,78.79413456462304,19.318245613188427,-81.87442110000003,-68.22631006000003
118,NET,Inactive,2,6,2.2415619999999996,2.241562,-3.885780586188048e-16,340.0,261.83000000000004,78.16999999999999,145.93507913191536,447.9595300585364,116.80723099338765,-78.17201914000003,6.827811719999958
119,NFLX,Inactive,1,1,0.147896,0.147896,0.0,100.0,199.41,0.5900000000000034,676.15,670.9428088349748,672.1635488451345,-0.5895801799999947,-0.5895801799999947
120,NVDA,Inactive,1,8,2.0570250000000003,2.057025,5.551115123125783e-17,525.0,551.4200000000001,23.579999999999984,261.29869878578916,270.46547390019015,243.75985677860018,-23.577823540000043,-23.577823540000043
121,NVEE,Inactive,1,3,1.3923400000000001,1.39234,1.1102230246251565e-16,150.0,273.65,-23.650000000000006,107.73196482181075,64.48488555844418,124.71690707729435,23.64881450000003,23.64881450000003
122,NVO,Inactive,1,2,2.0,2.0,0.0,226.59,330.86,10.670000000000016,113.295,113.295,107.96,-10.670000000000016,-10.670000000000016
123,NVR,Inactive,1,1,0.021422,0.021422,0.0,100.0,204.75,-4.75,4668.1,4668.1,4889.83,4.749900059999991,4.749900059999991
124,OKTA,Inactive,1,2,0.261151,0.261151,0.0,55.0,67.77000000000001,12.229999999999997,210.60546503746872,210.6061244260983,163.77,-12.231128529999992,-12.231128529999992
125,OM,Inactive,1,2,1.123656,1.123656,-1.3877787807814457e-17,50.0,72.59,2.410000000000001,44.49755302334522,60.894740247137236,42.35334921007853,-2.409347479999997,-2.409347479999997
126,PAC,Inactive,2,2,1.417388,1.4173879999999999,1.1102230246251565e-16,170.0,203.82999999999998,-33.83,119.9388234484841,101.83180876568208,143.80885022308644,33.833089510000036,49.29813767000003
127,PAYC,Inactive,1,1,0.179928,0.179928,0.0,75.0,133.56,16.439999999999998,416.83,416.83,325.46,-16.440021360000003,-16.440021360000003
128,PBTS,Inactive,1,2,15.0,15.0,0.0,31.650000000000002,54.01,-2.01,2.113333333333333,1.7280000000000002,2.243333333333333,1.950000000000005,1.950000000000005
129,PCOR,Inactive,2,1,1.136381,1.136381,0.0,100.0,66.06,33.94,88.0,88.0,58.13,-33.94370047,-31.97036237000001
130,PI,Inactive,2,5,4.482993,4.4829930000000004,-4.440892098500626e-16,355.0,256.97,98.03,79.18853386788695,89.8592948107385,57.32179089728669,-98.0284556700001,-56.8192807800001
131,PINS,Inactive,1,5,7.543198,7.543198,0.0,426.12,375.68,80.44,56.49159284298251,53.03092667323766,45.82952553280452,-80.42608481000002,-80.42608481000002
132,PLTR,Inactive,1,8,14.068869,14.068869,0.0,348.04,287.96999999999997,82.91000000000003,24.74029185928165,24.73830696696373,18.849999999999998,-82.86974453999996,-82.86974453999996
133,POWW,Inactive,1,1,4.926108,4.926108,0.0,50.0,97.24000000000001,2.759999999999998,10.15,10.15,9.59,-2.7586204800000025,-2.7586204800000025
134,PUBM,Inactive,3,4,2.480267,2.480267,0.0,100.0,67.97,32.03,40.318247797515355,90.40804385893681,27.405087129732404,-32.02808627000002,9.325930509999992
135,PXD,Inactive,1,1,1.0,1.0,0.0,230.99,499.5,-37.51999999999998,230.99,230.99,268.51,37.51999999999998,37.51999999999998
136,PYPL,Inactive,2,5,2.794847,2.794847,0.0,568.6,372.33000000000004,196.27,203.44631303967623,211.89109255867493,133.22026731695868,-196.27105320999996,-59.55105320999999
137,QLD,Inactive,1,1,0.308908,0.308908,0.0,25.0,53.22,-3.219999999999999,80.93,80.93,91.35,3.218821359999996,3.218821359999996
138,QQQ,Inactive,1,1,0.105547,0.105547,0.0,40.0,80.3,-0.29999999999999716,378.98,378.98,381.82,0.29975347999999735,0.29975347999999735
139,QRVO,Inactive,1,2,0.724132,0.724132,0.0,125.0,182.03,17.97,172.6199077516254,172.62046146282722,147.8,-17.97288943999999,-17.97288943999999
140,RBLX,Inactive,1,6,4.040798,4.040798,-1.1102230246251565e-16,347.71,418.18,18.529999999999994,88.1058715043205,82.22418973249924,81.46501732578567,-18.526132419999982,-18.526132419999982
141,RCON,Inactive,1,2,18.15944,18.15944,0.0,69.8,111.87,7.929999999999993,3.844054221936359,11.259999999999993,3.409219432978109,-7.896356259999996,-7.896356259999996
142,REGN,Inactive,1,1,0.209282,0.209282,0.0,150.0,278.78,21.22,716.74,716.74,615.34,-21.221194799999996,-21.221194799999996
143,RH,Inactive,1,4,0.35204900000000006,0.352049,5.551115123125783e-17,234.0,328.84000000000003,5.159999999999997,663.5880899638009,663.4073176711518,650.0214172742998,-5.16019823999999,-5.16019823999999
144,RJF,Inactive,1,1,1.0,1.0,0.0,110.67,212.74,8.600000000000009,110.67,110.67,102.07,-8.600000000000009,-8.600000000000009
145,RKT,Inactive,1,3,4.034393,4.034393,0.0,131.01,142.63,66.16,32.474565720295466,32.47328656380278,16.07,-66.18246510999998,-66.18246510999998
146,ROKU,Inactive,1,8,0.8690439999999999,0.869044,-1.1102230246251565e-16,289.0,281.15,107.85,332.54988506911053,332.54933006844306,208.45,-107.84826052000011,-107.84826052000011
147,RTX,Inactive,1,1,1.0,1.0,0.0,104.21,201.27999999999997,7.140000000000001,104.21,104.21,97.07,-7.140000000000001,-7.140000000000001
148,S,Inactive,1,3,2.53704,2.53704,2.220446049250313e-16,125.0,122.71000000000001,27.289999999999996,49.26922688250875,90.08639952331293,38.51321256267146,-27.288438569999983,-27.288438569999983
149,SBUX,Inactive,1,2,1.233187,1.233187,0.0,138.8,252.23000000000002,0.37000000000000455,112.5538772870619,112.55389490807153,112.25,-0.37473751999999616,-0.37473751999999616
150,SE,Inactive,2,3,2.373747,2.373747,0.0,310.5,262.53,47.97000000000003,130.8057992953756,130.8058525192449,110.6,-47.96345545999997,-47.36507518999998
151,SHEL,Inactive,1,3,4.0,4.0,0.0,226.37,325.09000000000003,14.150000000000006,56.595,60.065000000000005,53.055,-14.159999999999997,-14.159999999999997
152,SHOP,Inactive,1,7,0.28573400000000004,0.285734,2.7755575615628914e-17,409.0,393.37,115.63,1510.4669615872388,1514.075834190585,1026.723694275095,-115.63042740999997,-115.63042740999997
153,SI,Inactive,1,5,0.637219,0.637219,0.0,115.0,111.06,28.939999999999998,180.47246632633363,180.47170595980347,135.06,-28.937686379999988,-28.937686379999988
154,SNOW,Inactive,1,4,0.588155,0.588155,0.0,180.0,191.14,38.860000000000014,306.0428271289031,306.04177470224687,239.97,-38.86106364000002,-38.86106364000002
155,SOFI,Inactive,2,2,3.297014,3.297014,0.0,50.0,32.48,17.520000000000003,15.168291399429908,15.165237393593113,9.850000000000001,-17.5344812,-31.392247150000003
156,SPLK,Inactive,1,6,1.3688819999999997,1.368882,-2.7755575615628914e-16,190.0,206.66,8.339999999999996,138.7985694749438,149.61423978399608,132.7080806234577,-8.337160560000019,-8.337160560000019
157,SPT,Inactive,1,4,1.011772,1.011772,0.0,104.0,174.07,-20.069999999999993,102.78874224627683,102.78995663054523,122.63,20.074829039999997,20.074829039999997
158,SQ,Inactive,1,1,1.0,1.0,0.0,71.02,190.7,-48.66000000000001,71.02,71.02,119.68,48.66000000000001,48.66000000000001
159,STMP,Inactive,1,1,1.0,1.0,0.0,219.4,546.86,-108.05999999999997,219.4,219.4,327.46,108.05999999999997,108.05999999999997
160,SYNA,Inactive,1,6,1.7773969999999997,1.7773970000000001,-3.3306690738754696e-16,420.0,427.1,92.9,236.30081640736432,282.995689461112,184.03127468427144,-92.90372665000012,-92.90372665000012
161,T,Inactive,2,1,4.166666,4.166666,0.0,100.0,80.02,19.980000000000004,24.0,24.0,19.2,-19.999996800000005,-21.545298720000005
162,TDOC,Inactive,1,2,1.165947,1.165947,0.0,91.55,161.82000000000002,-3.720000000000006,78.5197916800678,56.958365458750954,81.71366114411718,3.7238825199999903,3.7238825199999903
163,TER,Inactive,1,5,1.498463,1.498463,5.551115123125783e-17,185.59,320.23,-8.269999999999996,123.85303261408525,125.29300396682292,129.37419169509025,8.27325259999997,8.27325259999997
164,TOST,Inactive,2,4,6.692442,6.692442,-8.881784197001252e-16,310.0,223.29,86.71000000000001,46.32147520441716,114.77438486146742,33.364466034969,-86.71403236000002,-75.06840458000003
165,TQQQ,Inactive,6,1,3.0,3.0,0.0,122.1,113.93,8.169999999999987,40.7,40.7,37.98,-8.160000000000018,-24.83476395000001
166,TRMB,Inactive,2,1,1.120487,1.120487,0.0,100.0,80.52,19.480000000000004,89.25,89.25,71.86,-19.48526893,-16.74159204999998
167,TSCO,Inactive,1,6,1.330032,1.330032,1.1102230246251565e-16,285.49,383.76,1.730000000000004,214.64972625470665,214.64585252339162,213.34727344905986,-1.7323039099999873,-1.7323039099999873
168,TSM,Inactive,2,1,1.0,1.0,0.0,99.22,94.76,4.459999999999994,99.22,99.22,94.76,-4.459999999999994,-3.900124870000009
169,TWLO,Inactive,2,2,1.704209,1.7042089999999999,1.6653345369377348e-16,497.41,319.63,177.78000000000003,291.87288536206535,775.5083622024281,187.5523008973665,-177.78407893000002,-175.16384025000002
